player_name,player_display_name,position,ros_projected_points,weeks_remaining,avg_weekly_projection,opponents,projected_points,last_week_played,last_season_played,avg_last_3_games,injury_status,injury_multiplier,overall_rank,position_rank
K.Dixon,Kenneth Dixon,RB,84.71754455566406,8,10.589693069458008,"CLE,NYJ,CIN,PIT,CIN,NE,GB,PIT",,,,,,,158,
L.Jones,Landry Jones,QB,84.57015228271484,8,10.571269035339355,"CIN,CHI,BUF,BAL,MIA,DET,CLE,BAL",,,,,,,159,
G.Celek,Garrett Celek,TE,84.47563171386719,8,10.559453964233398,"ARI,CAR,CLE,BYE,TEN,IND,CHI,SEA",,,,,,,160,
S.Ehlinger,Sam Ehlinger,QB,84.32857513427734,8,10.541071891784668,"BYE,KC,HOU,JAX,SEA,SF,JAX,HOU",,,,,,,161,
J.McMillan,Jalen McMillan,WR,83.8273696899414,8,10.478421211242676,"BUF,LA,ARI,NO,ATL,CAR,MIA,CAR",,,,,,,162,
R.Gould,R.Gould,K,83.77057647705078,8,10.471322059631348,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,163,
G.Joseph,G.Joseph,K,83.60057830810547,8,10.450072288513184,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,164,
J.Brissett,Jacoby Brissett,QB,83.58016204833984,8,10.44752025604248,"SF,JAX,TB,LA,HOU,ATL,CIN,LA",10.44752025604248,9.0,2025.0,14.153333333333334,,1.0,165,32.0
T.Tucker,Tre Tucker,WR,83.48542022705078,8,10.435677528381348,"DAL,CLE,LAC,DEN,PHI,HOU,NYG,KC",10.435677528381348,9.0,2025.0,10.466666666666669,,1.0,166,31.0
M.Ammendola,M.Ammendola,K,82.89114379882812,8,10.361392974853516,"BYE,BYE,BYE,BYE,BYE,BYE,BYE,BYE",,,,,,,167,
D.Lock,Drew Lock,QB,82.81810760498047,8,10.352263450622559,"LA,TEN,MIN,ATL,IND,LA,CAR,SF",,,,,,,168,
J.Jennings,Bennie Jennings,WR,82.74488067626953,8,10.343110084533691,"ARI,CAR,CLE,BYE,TEN,IND,CHI,SEA",10.343110084533691,9.0,2025.0,5.766666666666668,,1.0,169,32.0
O.Darkwa,Orleans Darkwa,RB,82.25076293945312,8,10.28134536743164,"GB,DET,NE,BYE,WAS,MIN,LV,DAL",,,,,,,170,
J.Warren,Jaylen Warren,RB,82.05401611328125,8,10.256752014160156,"CIN,CHI,BUF,BAL,MIA,DET,CLE,BAL",10.256752014160156,9.0,2025.0,12.466666666666663,,1.0,171,22.0
D.Metcalf,DeKaylin Metcalf,WR,81.8826675415039,8,10.235333442687988,"CIN,CHI,BUF,BAL,MIA,DET,CLE,BAL",10.235333442687988,9.0,2025.0,14.666666666666666,,1.0,172,33.0
