player_name,position,projected_points,last_week_played,last_season_played,player_display_name,avg_last_3_games,snap_pct,recent_pass_attempts,recent_rush_attempts,injury_status,injury_multiplier,recent_targets,overall_rank,position_rank
X.Hutchinson,WR,4.017216682434082,9,2025,Xavier Hutchinson,12.333333333333334,,,0.0,,1.0,5.0,298,102.0
K.Williams,WR,4.015488624572754,9,2025,Kyle Williams,-0.0666666666666666,,,0.0,,1.0,1.0,299,103.0
C.Washington,WR,4.011868476867676,8,2025,Casey Washington,1.866666666666667,,,0.0,,1.0,1.0,300,104.0
S.Tucker,RB,3.9749550819396973,8,2025,Sean Tucker,4.333333333333333,,,12.0,,1.0,0.0,301,73.0
S.Moore,WR,3.9374241828918457,9,2025,Skyy Moore,0.8666666666666667,,,0.0,,1.0,1.0,302,105.0
C.White,WR,3.8815345764160156,9,2025,Cody White,4.066666666666666,,,0.0,,1.0,2.0,303,106.0
B.Skowronek,WR,3.880491256713867,8,2025,Ben Skowronek,4.5666666666666655,,,0.0,,1.0,1.0,304,107.0
A.Trautman,TE,3.8555052280426025,9,2025,Adam Trautman,5.766666666666667,,,0.0,,1.0,2.0,305,58.0
T.Burks,WR,3.8451058864593506,9,2025,Treylon Burks,2.066666666666668,,,0.0,,1.0,1.0,306,108.0
A.Dulin,WR,3.74491024017334,8,2025,Ashton Dulin,3.9333333333333336,,,0.0,,1.0,1.0,307,109.0
K.Hodge,WR,3.7129249572753906,8,2025,KhaDarel Hodge,1.766666666666666,,,0.0,,1.0,8.0,308,110.0
Ji.Horn,WR,3.6963469982147217,9,2025,Jimmy Horn,3.3666666666666667,,,1.0,,1.0,2.0,309,111.0
B.Spann-Ford,TE,3.682086229324341,8,2025,Brevyn Spann-Ford,0.8333333333333334,,,0.0,,1.0,1.0,310,59.0
M.Bandy,WR,3.664440631866455,9,2025,Michael Bandy,0.8333333333333334,,,0.0,,1.0,1.0,311,112.0
N.Miller-Hines,RB,3.6271586418151855,8,2025,Nyheim Miller-Hines,7.366666666666668,,,2.0,,1.0,0.0,312,74.0
D.Ogunbowale,RB,3.5696358680725098,9,2025,Oluwadare Ogunbowale,2.433333333333334,,,0.0,,1.0,1.0,313,75.0
A.Trammell,WR,3.494265079498291,9,2025,Austin Trammell,4.3,,,0.0,,1.0,1.0,314,113.0
D.Knox,TE,3.488605499267578,9,2025,Dawson Knox,4.966666666666667,,,0.0,,1.0,1.0,315,60.0
K.Lambert-Smith,WR,3.4785566568374633,9,2025,KeAndre Lambert-Smith,0.55,,,0.0,Questionable,0.9,1.0,316,114.0
B.Berrios,WR,3.4575817584991455,8,2025,Braxton Berrios,0.3000000000000012,,,0.0,,1.0,5.0,317,115.0
T.Goodson,RB,3.3869285583496094,9,2025,Tyler Goodson,0.6,,,0.0,,1.0,2.0,318,76.0
